Block,gen[B],kill[B],in[B],out[B]
B0,"d1, d2, d3, d4, d5, d6","d10, d11, d12, d13, d14, d15, d16, d17, d18, d19, d20, d21, d8, d9",,"d1, d2, d3, d4, d5, d6"
B1,,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7"
B2,,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7"
B3,,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7"
B4,d7,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7"
B5,,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7"
B6,d8,"d11, d13, d14, d18, d3, d9","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d2, d21, d4, d5, d6, d7, d8"
B7,,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7, d8","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7, d8"
B8,d18,"d11, d13, d14, d3, d8, d9","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7, d8","d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7"
B9,,,"d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7"
B10,,,"d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7"
B11,,,"d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7"
B12,d10,d4,"d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d5, d6, d7"
B13,,,"d1, d10, d12, d15, d16, d18, d2, d21, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d5, d6, d7"
B14,,,"d1, d10, d12, d15, d16, d18, d2, d21, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d5, d6, d7"
B16,d11,"d13, d14, d18, d3, d8, d9","d1, d10, d12, d15, d16, d18, d2, d21, d4, d5, d6, d7","d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7"
B17,,,"d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7","d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7"
B18,,,"d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7","d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7"
B19,,,"d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7","d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7"
B20,"d12, d13","d11, d14, d18, d2, d3, d8, d9","d1, d10, d11, d12, d15, d16, d2, d21, d4, d5, d6, d7","d1, d10, d12, d13, d15, d16, d21, d4, d5, d6, d7"
B21,,,"d1, d10, d11, d12, d13, d15, d16, d2, d21, d4, d5, d6, d7","d1, d10, d11, d12, d13, d15, d16, d2, d21, d4, d5, d6, d7"
B22,d14,"d11, d13, d18, d3, d8, d9","d1, d10, d11, d12, d13, d15, d16, d2, d21, d4, d5, d6, d7","d1, d10, d12, d14, d15, d16, d2, d21, d4, d5, d6, d7"
B23,,,"d1, d10, d12, d14, d15, d16, d2, d21, d4, d5, d6, d7","d1, d10, d12, d14, d15, d16, d2, d21, d4, d5, d6, d7"
B24,"d15, d16","d1, d5","d1, d10, d12, d14, d15, d16, d2, d21, d4, d5, d6, d7","d10, d12, d14, d15, d16, d2, d21, d4, d6, d7"
B25,,,"d10, d12, d14, d15, d16, d2, d21, d4, d6, d7","d10, d12, d14, d15, d16, d2, d21, d4, d6, d7"
B26,d21,"d17, d19, d20, d6","d10, d12, d14, d15, d16, d2, d21, d4, d6, d7","d10, d12, d14, d15, d16, d2, d21, d4, d7"
B27,,,"d10, d12, d14, d15, d16, d2, d21, d4, d6, d7","d10, d12, d14, d15, d16, d2, d21, d4, d6, d7"
B28,d18,"d11, d13, d14, d3, d8, d9","d10, d12, d14, d15, d16, d2, d21, d4, d6, d7","d10, d12, d15, d16, d18, d2, d21, d4, d6, d7"
B29,,,"d10, d12, d15, d16, d18, d2, d21, d4, d6, d7","d10, d12, d15, d16, d18, d2, d21, d4, d6, d7"
B30,d21,"d17, d19, d20, d6","d10, d12, d15, d16, d18, d2, d21, d4, d6, d7","d10, d12, d15, d16, d18, d2, d21, d4, d7"
B31,,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7"
B32,d21,"d17, d19, d20, d6","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d7"
B33,,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7"
B34,d21,"d17, d19, d20, d6","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d7"
B36,d22,,"d1, d10, d12, d15, d16, d18, d2, d21, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7"
B37,,,"d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7"
B38,,,"d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7"
B39,,,"d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7"
B40,,,"d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7"
B41,,,"d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7","d1, d10, d12, d15, d16, d18, d2, d21, d22, d3, d4, d5, d6, d7"
