Block,gen[B],kill[B],in[B],out[B]
B25,d23,"d11, d21","d10, d11, d14, d16, d18, d19, d20, d21, d22, d23, d3, d5, d7","d10, d14, d16, d18, d19, d20, d22, d23, d3, d5, d7"
B26,,,"d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d3, d4, d5, d7","d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d3, d4, d5, d7"
B27,d24,"d1, d12, d17, d18, d26, d29, d6, d8, d9","d10, d11, d13, d14, d16, d18, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7"
B28,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7"
B29,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7"
B30,"d25, d26","d1, d12, d17, d18, d24, d27, d28, d29, d6, d8, d9","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d24, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d3, d4, d5, d7"
B31,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B32,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B33,d27,"d25, d28","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7"
B34,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7"
B35,d28,"d25, d27","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d27, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d26, d28, d29, d3, d4, d5, d7"
B36,d29,"d1, d12, d17, d18, d24, d26, d6, d8, d9","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d28, d29, d3, d4, d5, d7"
B37,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B38,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B39,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B40,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
B41,,,"d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7","d10, d11, d13, d14, d16, d19, d2, d20, d22, d23, d25, d26, d28, d29, d3, d4, d5, d7"
